,name,value
1024,(trimethylsilyl)methylzinc iodide,13
1025,isoquinoline,13
1026,"1,4-di(2-iodoethynyl)benzene",13
1027,metformin hydrochloride,13
1028,"1-benzyl-[(4S,5S)-4,5-dihydro-4,5-diphenyl]-2-iodo-3-methyl-1H-imidazolium trifluoromethanesulfonate",13
1029,Cy-DHTP*HBF4,13
1030,silica-supported diphenic acid,13
1031,hydroxypropyl-beta-cyclodextrin,13
1032,laccase,13
1033,C104H96N16O8Pd2(4+)*4NO3(1-),13
1034,methyl-alpha-D-glucopyranoside,13
1035,BrettPhos precatalyst,13
1036,1-C10H7Ni(P(C6H5)3)2Br,13
1037,supramolecular ensemble of HP-T with Au-Fe3O4 nanoparticles,13
1038,C58H41O4P,13
1039,C38H52ClNPPd,13
1040,quinine thiourea,13
1041,"2-((dicyclohexylphosphino)methyl)-1,3-bis(2,6-diisopropylphenyl)-4,5-dimethyl-1H-imidazol-3-ium iodide",13
1042,phospho sulphonic acid,13
1043,"3,3?-di(9-phenylanthryl)BINOL phosphoric acid",13
1044,t-BuBrettPhos,13
1045,"1,1,3,3-tetramethylguanidinium chlorosulfonate",13
1046,"{1,3-bis[2,6-bis(propan-2-yl)phenyl]-1,3-dihydro-2H-imidazol-2-ylidene}dichloro(pyridine)palladium",13
1047,(2-hydroxyphenyl)morpholin-4-yl-methanone,13
1048,C26H37CuF6N3O8S2,13
1049,polyacrylonitrile fiber-supported poly(ammoniummethanesulfonate),13
1050,[FeCl2(dpbz)2],12
1051,(R)-1-[(SP)-2-(dicyclohexylphosphino)ferrocenyl]ethyldi-tert-butylphosphine,12
1052,water-d2,12
1053,silica-bonded S-sullfonic acid nanoparticles,12
1054,C26H32Cl2FeN3O2,12
1055,polyindole,12
1056,[Pd(2-aminobiphenyl)(PCyp2ArXyl2)](OMs),12
1057,"1-butyl-1,4-diazabicyclo[2.2.2]octanylium hydrotetrafluoroborate",12
1058,2-methyl-8-quinolinol,12
1059,"(R)-2,6-bis-(4-chloro-phenyl)-4-oxo-3,5-dioxa-4-phospha-cyclohepta[2,1-a;3,4-a']dinaphthalen-4-ol",12
1060,2-amino-4(3H)-quinazolinone,12
1061,"1,8-bis(diisopropylphosphino)triptycene",12
1062,"{Ni(2,2'-bipyridine)3}Br2",12
1063,"2-[2-(diphenylphosphino)phenyl]-4,4-dimethyl-4,5-dihydro-1,3-oxazole",12
1064,copper dipyridine dichloride,12
1065,"2-Phenyl-1,3,2-dioxaborinane",12
1066,[bdmim][BF4],12
1067,N-methylcyclohexylamine,12
1068,tri-n-butyl-tin hydride,12
1069,"N,N?-di-beta-D-glucopyranosylethylenediamine",12
1070,"[Fe2-((phenylazo)-1,10-phenanthroline)Cl2]",12
1071,sodium phenylsulfonate,12
1072,selenium,12
1073,"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-benzyl-4,5-dihydrooxazole)",12
1074,C33H49N2O2(1+)*Cl4Fe(1-),12
1075,"2,4,6-triphenylpyrylium tetrafluoroborate",12
1076,(eta5-indenyl)ruthenium(bis(triphenylphosphine))chloride,12
1077,"iron(II,III) oxide",12
1078,"N,N'-bis(3,5-bis(trifluoromethyl)benzyl)-2-nitroethene-1,1-diamine",12
1079,"(S)-3,3?-bis(9-anthracenyl)-1,1?-binaphthyl-2,2?-diyl N-triflyl-phosphoramide",12
1080,trichloroacetic acid,12
1081,Tween-20,12
1082,3-aminopropyltriethoxysilane-functionalized gamma-Fe2O3-supported copper-isatin schiff base complex,12
1083,Pd bipyridyl anchored nanosized mesoporous silica MCM-41,12
1084,C36H52Br2N4NiSi,12
1085,1-butyl-2-(diphenylphosphanyl)-3-methylimidazolium hexafluorophosphate,12
1086,phosphorus pentoxide on alumina,12
1087,HY-Zeolite,12
1088,methylalumoxane,12
1089,C9H19ClNZn*LiCl,12
1090,3-methyl-1-sulfonic acid imidazolium tetrachloroferrate,12
1091,C29H25CuIN3OPPd,12
1092,"(-)-2-(dicyclohexylphosphino)-2'-(dimethylamino)-1,1'-binaphthyl",12
1093,"N1,N2-bis(furan-2-ylmethyl)oxalamide",12
1094,"[Pd(1,3-bis(2,6-bis(diphenylmethyl)-4-methylphenyl)imidazol-2-ylidene)(cinnamyl)Cl]",12
1095,[Ru(TBPP)](SbF6)2,12
1096,sarcosine,12
1097,4-diphenylphosphino-13-dicyclohexylphosphino-[2.2]paracyclophane,12
1098,benzotriazol-1-ol,12
1099,pyrographite,12
1100,C31H26N4PPdS(1+)*Cl(1-),12
1101,"(1E,4E)-1,5-diphenylpenta-1,4-dien-3-one palladium(II) complex",12
1102,C36H44Cl6O4P2Pd2,12
1103,C36H30CuN12O6*2C2H4O2,12
1104,12-tungstophosphoric acid,12
1105,"tris(2,2-bipyridine)ruthenium(II) hexafluorophosphate",12
1106,indium(III) trifluoride,12
1107,"PdCl(pi-allyl)(cyclohexyl-(1-methyl-2,2-diphenylcyclopropylphophine))",12
1108,gallium(III) trichloride,12
1109,"[1,3-bis(3,5-di-tert-butyl-2-hydroxybenzyl)benzimidazolium][FeCl4]",12
1110,tetra-N-butylammonium tribromide,12
1111,succinimidinium N-sulfonic acid hydrogen sulfate,12
1112,Si-MCM-41 supported gallium oxide,12
1113,"1,4-di(diphenylphosphino)-butane",12
1114,C70H40Cl2F68N2O6Pd2,12
1115,VNU-1,12
1116,"2-methyl-4'-nitro-1,1'-biphenyl",12
1117,CpPd(SIPr)Cl,12
1118,barium bis(bis(trimethylsilyl)amide),12
1119,methylamine,12
1120,CVT-2537,12
1121,"2,2'-biimidazole",12
1122,"[Ni(N,N'-bis[2,6-bis(diphenylmethyl)-4-methoxyphenyl]imidazol-2-ylidene)(allyl)Cl]",12
1123,dendrimer-encapsulated Cu(II) nanoparticles immobilized on superparamagnetic Fe3O4*SiO2 nanoparticles,12
1124,"1,3-di-tert-butyl-2-chloro-1,3,2-diazaphospholidine",12
1125,"(R)-5,6,7,8-tetrahydro-1-(1,2,3,4-tetrahydro-6-hydroxy-7-(triphenylsilyl)naphthalen-5-yl)-3-(triphenylsilyl)naphthalen-2-ol",12
1126,"2,2,6,6-tetramethylheptane-3,5-dione",12
1127,(R)-1-[(Sp)-2-(dicyclohexylphosphanyl)ferrocenyl]ethyldicyclohexylphosphane,12
1128,tol-BINAP,12
1129,titanocene perfluorophenylsulfonate,12
1130,C38H40N6Ni,12
1131,2-(hydroxymethyl)benzoic acid,12
1132,C42H46ClF6N3OPd,12
1133,[polymer-incarcerated nickel nanocatalyst] PICB-NHC-Ni (0.25 mol % as Ni),12
1134,(R)-BINOL based chiral phosphoric acid pyridinium salt,12
1135,ferrous ammonium sulphate hexahydrate,12
1136,sodium hypochlorite solution,12
1137,cesium iodide,11
1138,"p-tert-butyl-p-(2',6'-dimethoxy-biphenyl-2-yl)phosphine chloride",11
1139,H6P2W18O62,11
1140,C40H42NP,11
1141,bis[N-(trifluoromethylsulfonylimino)]trifluoromethanesulfonic acid,11
1142,"diethyl bicyclo[2.2.1]hept-2,5-diene-2,3-dicarboxylate",11
1143,C19H31KNO5(1+)*H(1+)*2HO4S(1-),11
1144,kaolin,11
1145,tetraethylammonium iodide,11
1146,Fe-pillared interlayered clay B,11
1147,Cl2Pd[bis(2-diphenylphosphinophenyl) ether],11
1148,cadmium sulphide,11
1149,active Cu,11
1150,"CoCl2(1,4-bis(diphenylphosphanyl)propane)",11
1151,C60H68N2O10,11
1152,L-proline-silica modified Fe3O4 nanoparticle,11
1153,molecular iodine-loaded Cu4I4-MOF,11
1154,2-(2'-di-tert-butylphosphine)biphenylpalladium(II) acetate,11
1155,"(L)-5,5-dimethylthiazolidinium-4-carboxylate",11
1156,[Ir2(COD)2(SnCl3)2(Cl)2(mu-Cl)2],11
1157,"(S)-3,3?-bis(biphenyl-4-yl)-1,1?-binaphthalene-2,2?-diyl hydrogen phosphate",11
1158,C78H78N12O6,11
1159,"(1R,2R)-1,2-bis[(2-diphenylphosphanyl)benzoylamino]cyclohexane",11
1160,triacetoxyborane,11
1161,[nickel(II)chloride(Cp)(C3H2N2(C6H3(CHPh2)(OMe))2)],11
1162,"di-mu-hydroxo-bis[(N,N,N?,N?-tetramethylethylenediamine)copper(II)] chloride",11
1163,nickel(II) iodide,11
1164,"Zn(II)-Fe(III) and 1,4-benzenedicarboxylate based metal organic framework",11
1165,"[ruthenium(2,9-dimethyl[1,10]phenanthroline)2(chloride)2]",11
1166,C18H14F6N2OS,11
1167,lead(IV) acetate,11
1168,3-mercaptopropionic acid,11
1169,[CpFe(C2H4)2][Li(tmeda)],11
1170,sodium tosylate,11
1171,niobium(V) methoxide,11
1172,C30H26O3,11
1173,"2,2'-methylenebis[(4R,5S)-4,5-diphenyl-2-oxazoline]",11
1174,"2,6-bis[4?-(S)-(tert-butyl)oxazolin-2?-yl]pyridine",11
1175,C16H21IMoO3,11
1176,"tris(2,2'-bipyridyl)ruthenium dichloride",11
1177,bis(pinacol)diborane,11
1178,silica gel with physisorbed water,11
1179,"rhodium(I)-bis(1,5-cyclooctadiene) tetrafluoroborate",11
1180,magnesium fluoride,11
1181,chloranil,11
1182,bismuth,11
1183,solid phase supported pyridin-2-ylmethanimine-copper(II) complex,11
1184,"indan-1,2,3-trione hydrate",11
1185,3-diphenylphosphino-2-(diphenylphosphino)methyl-2-methylpropyl acetate,11
1186,"caffeine, phosphoric acid",11
1187,"sodium tetrakis[(3,5-di-trifluoromethyl)phenyl]borate",11
1188,C58H45FeO4PSi2,11
1189,"2?(((1S,2R)?2?hydroxy?2,3?dihydro?1H?inden?1?yl)carbamothioyl)quinolin?1?ium tetrakis[3,5?bis(trifluoromethyl)phenyl]borate",11
1190,"(R,Rp)-Walphos-CF3",11
1191,palladium bis(dibenzylideneacetone)palladium(0),11
1192,chiral N-heterocyclic carbene,11
1193,Selectfluor,11
1194,Nafion-H,11
1195,"2,4-dinitrobenzenesulfonic acid",11
1196,(R)-Mandelic Acid,11
1197,1-[2-(diphenylphosphino)phenyl]ethanol,11
1198,lithium trifluoromethanesulfonate,11
1199,C40H25O4P,11
1200,diisopropyl zinc,11
1201,"[Cu4(mu3-OH)2(3,5-bis(N-pyrimidylimidazolylidenylmethyl)pyrazolate)2](PF6)4",11
1202,[Ir(COD)(SnCl3)Cl(mu-Cl)]2,11
1203,"1,3-bis(2,4,6-trimethylphenyl)-4,5,6,7-tetrahydro-1H-1,3-diazepinium bromide",11
1204,C30H42N2,11
1205,bis[(S)-4-(isopropyl)oxazoline-2-yl]-2-(thienyl)-ethene,11
1206,"2,4,6-tri(tert-butyl)phenol sodium salt",11
1207,"lithium ethane-1,2-diylbis((2,6-diisopropylphenyl)amide)",11
1208,nanofiber of Mn-porphyrin supported on CuO base on polyvinyl alcohol,11
1209,Dess-Martin periodane,11
1210,8-Hydroxyquinoline-N-oxide,11
1211,C56H47N5O4S2,11
1212,MoO4(AlCl2)2,11
1213,"cyclohexa-1,3-diene",11
1214,C24H27I2N4OPd,11
1215,"chloro(2-dicyclohexylphosphino-2?,6?-diisopropoxy-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl)]palladium(II) 2nd generation",11
1216,1-dodecanesulfonic acid,11
1217,C60H58N8O2,11
1218,iodobenzene,11
1219,C62H64O8P2,11
1220,MOF-199,11
1221,C24H33O3P,10
1222,bis(1-dodecylimidazole)cupronium dichlorocuprate,10
1223,Grubbs catalyst first generation,10
1224,3-acetylcoumarin,10
1225,C37H56N4O4,10
1226,aluminosilicate AlKIT-5(10),10
1227,"3,5-bis(trifluoromethyl)phenylammonium hexafluorophosphate",10
1228,Hippuric Acid,10
1229,C24H40N2O3,10
1230,"1-(3,4-dichlorobenzenesulfonyl)-3-methyl-1H-imidazolium chloride",10
1231,N-((1-oxy-pyridin-2-yl)methyl)oxalamic acid,10
1232,C15H10N2O5(2-)*5C3H7NO*Zn4O(2+),10
1233,iron(III) dodecane-1-sulfonate,10
1234,FeF3*3H2O,10
1235,(Fe3O4 nanoparticles)(at)PEG/Cu-Co,10
1236,"1,3-bis(2,6-i-propylphenyl)imidazolinium hydrochloride",10
1237,"1-(3,5-bis(trifluoromethyl)phenyl)-3-((1R,2R)-2-amino-1,2-diphenylethyl)thiourea",10
1238,"1,4-dihydropyridine",10
1239,tetramethylammonium triacetoxyborohydride,10
1240,"2,6-dimethyl-pyridine-3,5-dicarboxylic acid diethyl ester",10
1241,"2,6-bis[(3aR,8aS)-3a,8a-dihydro-8H-indeno[1,2-d]oxazolin-2-yl]pyridine",10
1242,tri-tert-butylphosphonium tetrafluoroborate,10
1243,lauric acid,10
1244,C20H19N2S(1+)*I(1-),10
1245,diphenyl diselenide,10
1246,"phenylallylchloro-[1,3-bis(diisopropylphenyl)-2-imidazolidinylidene]palladium(II)",10
1247,"nano-N,N,N?,N?-tetramethyl-N-(silica-n-propyl)-N?-sulfoethane-1,2-diaminiumchloride",10
1248,C16H22AuClN2,10
1249,zinc(II) fluoride,10
1250,"(S,S)-IndaPybox*Sc(OTf)3",10
1251,9-epi-9-amino-9-deoxyquinine,10
1252,cataCXium A,10
1253,C46H61NO3PPdS,10
1254,N-tetradecyl lactosamine,10
1255,silver(l) oxide,10
1256,[Ni(bis(2-acetylthiophene)oxaloyldihydrazone(-2H))(H2O)2]2*2H2O,10
1257,sulfonic acid functionalized mesoporous silica SBA-15-Pr-SO3H,10
1258,N-[phenyl(acetylamino)methyl]acetamide,10
1259,(TMPP)2PdCl2,10
1260,"N,N,N?,N?-tetrabromobenzene-1,3-disulfonamide",10
1261,silver,10
1262,bismuth(III) nitrate,10
1263,"3,3?-bis[3,5-bis(perfluoropropan-2-yl)phenyl]-1,1?-binaphthalene-2,2?-sulfonimide",10
1264,"2,2'-isopropylidenebis<(4S)-4-tert-butyl-4,5-dihydrooxazole>",10
1265,C39H28NO2P,10
1266,tin(II) trifluoromethanesulfonate,10
1267,[{CH3CpZr(OH2)3}2(mu2-OH)2][OSO2C8F17]4,10
1268,"1,3-bis(2,4,6-trimethylphenyl)-4,5-dihydroimidazolium chloride",10
1269,2-hydroxy-pyridine N-oxide,10
1270,C30H23O2P,10
1271,choline sulfate supported on porous graphitic carbon nitride nanosheet,10
1272,sodium butanolate,10
1273,Fe(S-2-naphthyl)2,10
1274,(2-furyl)methyl alcohol,10
1275,dicyclohexyl[2-(1-pyrenyl)phenyl]phosphine,10
1276,"Ni(N,N'-bis(diphenylphosphino)-1,3-benzenediamine(-1H))Cl",10
1277,self-assembled multilayer nickel nanoparticle catalyst - sulfur-modified gold-supported Ni NPs (SANi),10
1278,"N1,N1,N2,N2-2-pentamethylpropane-1,2-diamine",10
1279,N-sulfonic acid poly(4-vinylpyridinium)chloride,10
1280,p-toluenesulfonic acid immobilized on silica,10
1281,cobalt(II) sulfamate tetrahydrate,10
1282,tBuXPhos Pd G3,10
1283,"1-(((1R,4aS,10aR)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl)-3-((1R,2R)-2-(pyrrolidin-1-yl)cyclohexyl)thiourea",10
1284,tetra(n-butyl)ammonium tribromide,10
1285,2-(diphenylphosphinyl)-benzaldoxime,10
1286,"(1,3-bis[2,6-bis(diphenylmethyl)-4-methylphenyl]imidazole-2-ylidene)PdCl2(triethylamine)",10
1287,"2-dicyclohexylphosphino-2?,6?-dimethoxybiphenyl",10
1288,In3+-montmorillonite,10
1289,Pd[2-(furan-2'-yl)-1H-benzo[d]imidazole]2Cl2,10
1290,(SIPr)PdCl2(TEA),10
1291,chromic(III) sulfamate,10
1292,"copper(II)(1,1?-di(2-picolyl)-3,3?-methylenedibenzimidazolium) dihexafluorophosphate",10
1293,C81H82Dy3N15O26*3.8C3H7NO,10
1294,"1,3-bis(3-sulfopropyl)-1H-imidazol-3-ium trifluoromethanesulfonate",10
1295,"cis-diisothiocyanato-bis[1,3-bis(2-propenyl)benzimidazolin-2-ylidene]nickel(II)",10
1296,Amberlyst 15 (hydrogen form),10
1297,tetra(n-butyl)phosphonium malonate,10
1298,Ph-dbfox,10
1299,C20H14Cl5FeN2O2,10
1300,DPEPhosPdCl2,10
1301,CH3BN(1-)*C10H15NPol(1+),9
1302,dimethyl zinc(II),9
1303,nickel(II) fluoride,9
1304,ethyl bromide,9
1305,"2,2,6,6-tetramethyl-piperidine-N-oxyl",9
1306,diisopropylamine,9
1307,tetrabutylammonium perchlorate,8
1308,8-quinolinol,8
1309,boron tribromide,8
1310,tetrachlorosilane,8
1311,Trimethylacetic acid,7
1312,"2,2,6,6-tetramethylpiperidinyl-lithium",7
1313,trimethylamine-N-oxide,7
1314,tin,6
1315,lithium perfluorooctane sulfonate,6
1316,"2,6-di-tert-butyl-pyridine",6
1317,"2,2'-isopropylidenebis[(4S)-4-tert-butyl-2-oxazoline]",6
1318,Tetrakis(dimethylamino)ethylen,6
1319,"N-methyl-ethane-1,2-diamine",6
